full_text,cleaned_text,translated_text,stopwords,tweet_tokenize,tokens_lemmatized,text_lemmatized,pos,neg,neu,label
Kiriman via paket sicepat nomor resi yang seharus nya bisa diterima tanggal sampai sekarang belum sampai telp ke call center dengan staff bernama endi jawaban nya cuma akan diusahakan dan tidak bisa menjanjikan apapun halo,Kiriman via paket nomor resi yang seharus nya bisa diterima tanggal sampai sekarang belum sampai telp ke call center dengan staff bernama endi jawaban nya cuma akan diusahakan dan tidak bisa menjanjikan apapun halo,submission via the receipt number package that should be received by the date until now has not arrived at the call center with a staff named endi the answer will only be endeavored and cannot promise anything hello,submission via receipt number package received date arrived call center staff named endi answer endeavored cannot promise anything hello,"['submission', 'via', 'receipt', 'number', 'package', 'received', 'date', 'arrived', 'call', 'center', 'staff', 'named', 'endi', 'answer', 'endeavored', 'cannot', 'promise', 'anything', 'hello']","['submission', 'via', 'receipt', 'number', 'package', 'receive', 'date', 'arrive', 'call', 'center', 'staff', 'name', 'endi', 'answer', 'endeavor', 'cannot', 'promise', 'anything', 'hello']",submission via receipt number package receive date arrive call center staff name endi answer endeavor cannot promise anything hello,0.064,0.097,0.839,negative
Sicepat tuh lelet sangat njir mening pilih spx,tuh lelet sangat njir mening pilih,tuh slow very njir mening chooses,tuh slow njir mening chooses,"['tuh', 'slow', 'njir', 'mening', 'chooses']","['tuh', 'slow', 'njir', 'mening', 'chooses']",tuh slow njir mening chooses,0.0,0.273,0.727,negative
dikasih tempat komplain yang tidak aktif asli geram,dikasih tempat komplain yang tidak aktif asli geram,given a place to complain that is not original furious,given place complain original furious,"['given', 'place', 'complain', 'original', 'furious']","['give', 'place', 'complain', 'original', 'furious']",give place complain original furious,0.219,0.59,0.19,negative
sicepat emang tidak pernah konfirmasi ya klok mau dipickup langsung kerumah begitu,emang tidak pernah konfirmasi ya klok mau dipickup langsung kerumah begitu,"weve never confirmed, klok, i want to be picked up directly to the house",weve never confirmed klok want picked directly house,"['weve', 'never', 'confirmed', 'klok', 'want', 'picked', 'directly', 'house']","['weve', 'never', 'confirm', 'klok', 'want', 'picked', 'directly', 'house']",weve never confirm klok want picked directly house,0.0,0.149,0.851,negative
tolong cek dm kak perihal salah alamat,tolong cek dm kak perihal salah alamat,please check dm sis about the wrong address,please check dm sis wrong address,"['please', 'check', 'dm', 'sis', 'wrong', 'address']","['please', 'check', 'dm', 'si', 'wrong', 'address']",please check dm si wrong address,0.245,0.33,0.426,negative
Kata saya mah jangan ama sicepat lagi dah sering ilang tuh paket sering di bobol jugaa,Kata saya mah jangan ama lagi dah sering ilang tuh paket sering di bobol jugaa,"i said, don't often disappear, the package is often broken",said often disappear package often broken,"['said', 'often', 'disappear', 'package', 'often', 'broken']","['say', 'often', 'disappear', 'package', 'often', 'broken']",say often disappear package often broken,0.0,0.556,0.444,negative
kamu mo lawan sicepat fren,kamu mo lawan fren,you want to fight fren,want fight fren,"['want', 'fight', 'fren']","['want', 'fight', 'fren']",want fight fren,0.265,0.531,0.204,negative
KALIAN TUKANG MALING Barang dagang saya kalian bongkar paksa dan bikin rusak segel barang baru saya Bajingan laknatullah kalian,KALIAN TUKANG MALING Barang dagang saya kalian bongkar paksa dan bikin rusak segel barang baru saya Bajingan laknatullah kalian,"you are a thief of my merchandise, you forcibly dismantled and made my new seal of new goods bastard.",thief merchandise forcibly dismantled made new seal new goods bastard,"['thief', 'merchandise', 'forcibly', 'dismantled', 'made', 'new', 'seal', 'new', 'goods', 'bastard']","['thief', 'merchandise', 'forcibly', 'dismantle', 'make', 'new', 'seal', 'new', 'good', 'bastard']",thief merchandise forcibly dismantle make new seal new good bastard,0.173,0.411,0.417,negative
kenapa whatsapp slow respon sekali ya saya ada beberapa kendala tolong segera di tanggapi,kenapa whatsapp slow respon sekali ya saya ada beberapa kendala tolong segera di tanggapi,"why is whatsapp slow response so i have some obstacles, please respond immediately",whatsapp slow response obstacles please respond immediately,"['whatsapp', 'slow', 'response', 'obstacles', 'please', 'respond', 'immediately']","['whatsapp', 'slow', 'response', 'obstacle', 'please', 'respond', 'immediately']",whatsapp slow response obstacle please respond immediately,0.223,0.388,0.388,negative
pernah kaya ginii pernah mau kirim HP lwat jnt JNE sicepat ditolak semuaa akhirnya dilapisin baju pakai kardus ngomong kalau itu isinya baju jadi bisaa si emang agak ketir ketir tetapi alhamdulillah nyampe dengan selamat,pernah kaya ginii pernah mau kirim HP lwat ditolak semuaa akhirnya dilapisin baju pakai kardus ngomong kalau itu isinya baju jadi bisaa si emang agak ketir ketir tetapi alhamdulillah nyampe dengan selamat,"never been like this ever wanted to send a cellphone, all of them finally covered with clothes wearing cardboard talking if it was the shirt so it could",never like ever wanted send cellphone finally covered clothes wearing cardboard talking shirt could,"['never', 'like', 'ever', 'wanted', 'send', 'cellphone', 'finally', 'covered', 'clothes', 'wearing', 'cardboard', 'talking', 'shirt', 'could']","['never', 'like', 'ever', 'want', 'send', 'cellphone', 'finally', 'cover', 'clothes', 'wear', 'cardboard', 'talk', 'shirt', 'could']",never like ever want send cellphone finally cover clothes wear cardboard talk shirt could,0.0,0.217,0.783,negative
halah admin saya dm dari bulan maret saja nggak dibales sampe sekarang,halah admin saya dm dari bulan maret saja nggak dibales sampe sekarang,halah my admin dm from march alone was not dibales until now,halah admin dm march alone dibales,"['halah', 'admin', 'dm', 'march', 'alone', 'dibales']","['halah', 'admin', 'dm', 'march', 'alone', 'dibales']",halah admin dm march alone dibales,0.0,0.286,0.714,negative
sicepat kenapa lelet sangat sihhhhhhhhhh,kenapa lelet sangat sihhhhhhhhhh,why is it so slow,slow,['slow'],['slow'],slow,0.0,1.0,0.0,negative
sudah di whatsapp belom ditindak lanjuti saya minta ganti seharga barang yang rusak,sudah di whatsapp belom ditindak lanjuti saya minta ganti seharga barang yang rusak,whatsapp has not been followed up on i ask for a replacement for the goods that are damaged,whatsapp followed ask replacement goods damaged,"['whatsapp', 'followed', 'ask', 'replacement', 'goods', 'damaged']","['whatsapp', 'follow', 'ask', 'replacement', 'good', 'damage']",whatsapp follow ask replacement good damage,0.287,0.317,0.396,negative
jnt sama spx sicepat pernah bolak balikin paket saya dengan alesan tempatnya tutup padahal saya di asrama kampus terus pernah paket saya diilangin mana kurirnya sama lagi mzz doni benar benar ya id express juga sama paket saya dibolak balikin mulu faklah,sama pernah bolak balikin paket saya dengan alesan tempatnya tutup padahal saya di asrama kampus terus pernah paket saya diilangin mana kurirnya sama lagi mzz doni benar benar ya id express juga sama paket saya dibolak balikin mulu faklah,"same never go back and forth back my package with the place of the place to close even though i was in the campus dormitory and then my package had been removed where the courier was the same as mzz doni really, id express was also the same as my package was rejected back",never go back forth back package place place close even though campus dormitory package removed courier mzz doni really id express also package rejected back,"['never', 'go', 'back', 'forth', 'back', 'package', 'place', 'place', 'close', 'even', 'though', 'campus', 'dormitory', 'package', 'removed', 'courier', 'mzz', 'doni', 'really', 'id', 'express', 'also', 'package', 'rejected', 'back']","['never', 'go', 'back', 'forth', 'back', 'package', 'place', 'place', 'close', 'even', 'though', 'campus', 'dormitory', 'package', 'remove', 'courier', 'mzz', 'doni', 'really', 'id', 'express', 'also', 'package', 'reject', 'back']",never go back forth back package place place close even though campus dormitory package remove courier mzz doni really id express also package reject back,0.0,0.101,0.899,negative
Knp sekarang jadi Lelet sudah begitu kurirnya klw anter brg malem,Knp sekarang jadi Lelet sudah begitu kurirnya klw anter brg malem,why is it so slow now that the courier is that antemer brg late,slow courier antemer brg late,"['slow', 'courier', 'antemer', 'brg', 'late']","['slow', 'courier', 'antemer', 'brg', 'late']",slow courier antemer brg late,0.0,0.273,0.727,negative
punya saya juga stuck harian tidak gerak pls padahal make nya yang reguler namanya saja yang cepat,punya saya juga stuck harian tidak gerak pls padahal make nya yang reguler namanya saja yang cepat,"mine is also stuck daily, not moved pls even though the regular use of the name is fast",mine also stuck daily moved pls even though regular use name fast,"['mine', 'also', 'stuck', 'daily', 'moved', 'pls', 'even', 'though', 'regular', 'use', 'name', 'fast']","['mine', 'also', 'stuck', 'daily', 'move', 'pls', 'even', 'though', 'regular', 'use', 'name', 'fast']",mine also stuck daily move pls even though regular use name fast,0.203,0.145,0.652,negative
sicepat tai lelet sangat anjing posisi paket sudah didaerah rumah saya belum dianter kesini sama kurir dari kemarin padahal DEKET BGT GUDANGNYA,tai lelet sangat anjing posisi paket sudah didaerah rumah saya belum dianter kesini sama kurir dari kemarin padahal DEKET BGT GUDANGNYA,"tai is slow, dog position package has been in the area of ​​my house, i haven't been delivered here with the courier from yesterday even though it is close to the warehouse",tai slow dog position package area my house delivered courier yesterday even though close warehouse,"['tai', 'slow', 'dog', 'position', 'package', 'area', 'my', 'house', 'delivered', 'courier', 'yesterday', 'even', 'though', 'close', 'warehouse']","['tai', 'slow', 'dog', 'position', 'package', 'area', 'my', 'house', 'deliver', 'courier', 'yesterday', 'even', 'though', 'close', 'warehouse']",tai slow dog position package area my house deliver courier yesterday even though close warehouse,0.0,0.097,0.903,negative
Sicepat ini tidak jelas Paket sampai hari tidak terkirim tidak ada update di website,ini tidak jelas Paket sampai hari tidak terkirim tidak ada update di website,"this is unclear the package until the day is not sent, there is no update on the website",unclear package day sent update website,"['unclear', 'package', 'day', 'sent', 'update', 'website']","['unclear', 'package', 'day', 'sent', 'update', 'website']",unclear package day sent update website,0.0,0.286,0.714,negative
ini pusat nya tidak ada yang nindak apa cabang kaya begitu,ini pusat nya tidak ada yang nindak apa cabang kaya begitu,"this is not the center of nothing, what branches are like that",center nothing branches like,"['center', 'nothing', 'branches', 'like']","['center', 'nothing', 'branch', 'like']",center nothing branch like,0.0,0.413,0.587,negative
Serius itu ada tindakan,Serius itu ada tindakan,seriously there is an action,seriously action,"['seriously', 'action']","['seriously', 'action']",seriously action,0.0,0.63,0.37,negative
Udh admin dsrh nunggu terus Pdhl saya sebagai seller butuh uangnya cepet loh tetapi malah melewati estimasi Sakit hati,Udh admin dsrh nunggu terus Pdhl saya sebagai seller butuh uangnya cepet loh tetapi malah melewati estimasi Sakit hati,"the admin has been waiting for me as a seller as a seller, i need the money to be fast but instead goes through an estimated hurt",admin waiting seller seller need money fast instead goes estimated hurt,"['admin', 'waiting', 'seller', 'seller', 'need', 'money', 'fast', 'instead', 'goes', 'estimated', 'hurt']","['admin', 'wait', 'seller', 'seller', 'need', 'money', 'fast', 'instead', 'go', 'estimate', 'hurt']",admin wait seller seller need money fast instead go estimate hurt,0.108,0.245,0.647,negative
Nanti jne ke rumah kamu tanggal tetapi tanggal molor lagi alasannya dirumah kamu tidak ada orang,Nanti ke rumah kamu tanggal tetapi tanggal molor lagi alasannya dirumah kamu tidak ada orang,later to your house date but the date is delayed again the reason at home you don't have anyone,later house date date delayed reason home anyone,"['later', 'house', 'date', 'date', 'delayed', 'reason', 'home', 'anyone']","['later', 'house', 'date', 'date', 'delayed', 'reason', 'home', 'anyone']",later house date date delayed reason home anyone,0.0,0.213,0.787,negative
ni satu penipu berisik sangat tot lo,ni satu penipu berisik sangat tot lo,this is a very noisy fraudster,noisy fraudster,"['noisy', 'fraudster']","['noisy', 'fraudster']",noisy fraudster,0.0,1.0,0.0,negative
hallo saya mau buat laporan tentang pelayanan buruk kurir si cepat di daerah saya Bagaiaman caranya ya bisa by tweet saja kah paket saya resinya,hallo saya mau buat laporan tentang pelayanan buruk kurir si cepat di daerah saya Bagaiaman caranya ya bisa by tweet saja kah paket saya resinya,"hello, i want to make a report about the bad service of the fast courier in my area, how can you just by tweet, my package",hello want make report bad service fast courier area tweet package,"['hello', 'want', 'make', 'report', 'bad', 'service', 'fast', 'courier', 'area', 'tweet', 'package']","['hello', 'want', 'make', 'report', 'bad', 'service', 'fast', 'courier', 'area', 'tweet', 'package']",hello want make report bad service fast courier area tweet package,0.196,0.245,0.559,negative
emang boleh ya paket diterima tidak sesuai tanggal sengaja pakai yang sameday tetapi tidak tepat waktu mana bikin bukti penerimaan palsu Sedang di shopee jelek sangat kurir kamu,emang boleh ya paket diterima tidak sesuai tanggal sengaja pakai yang sameday tetapi tidak tepat waktu mana bikin bukti penerimaan palsu Sedang di shopee jelek sangat kurir kamu,it is possible that the package is received not according to the deliberately used date but not on time which makes proof of fake acceptance in shopee ugly very courier you,possible package received according deliberately used date time makes proof fake acceptance shopee ugly courier,"['possible', 'package', 'received', 'according', 'deliberately', 'used', 'date', 'time', 'makes', 'proof', 'fake', 'acceptance', 'shopee', 'ugly', 'courier']","['possible', 'package', 'receive', 'accord', 'deliberately', 'use', 'date', 'time', 'make', 'proof', 'fake', 'acceptance', 'shopee', 'ugly', 'courier']",possible package receive accord deliberately use date time make proof fake acceptance shopee ugly courier,0.14,0.299,0.561,negative
IH SUMPAH KENAPA YA SICEPAT TUH ANEH,IH SUMPAH KENAPA YA TUH ANEH,uh oath why is it weird,uh oath weird,"['uh', 'oath', 'weird']","['uh', 'oath', 'weird']",uh oath weird,0.0,0.459,0.541,negative
Karena sebuah kebodohan salah masukin alamat jadinya harus pickup sendiri ke gudang sortirnya Sicepat Express Sorting Center Badung Ex Gudang Bulog Uluwatu,Karena sebuah kebodohan salah masukin alamat jadinya harus pickup sendiri ke gudang sortirnya Express Sorting Center Badung Ex Gudang Bulog Uluwatu,because a foolishness is wrong to enter the address so he must pick up his own to the sorting warehouse express sorting center badung ex warehouse bulog uluwatu,foolishness wrong enter address must pick sorting warehouse express sorting center badung ex warehouse bulog uluwatu,"['foolishness', 'wrong', 'enter', 'address', 'must', 'pick', 'sorting', 'warehouse', 'express', 'sorting', 'center', 'badung', 'ex', 'warehouse', 'bulog', 'uluwatu']","['foolishness', 'wrong', 'enter', 'address', 'must', 'pick', 'sort', 'warehouse', 'express', 'sort', 'center', 'badung', 'ex', 'warehouse', 'bulog', 'uluwatu']",foolishness wrong enter address must pick sort warehouse express sort center badung ex warehouse bulog uluwatu,0.0,0.296,0.704,negative
Sicepat sama jnt spx datengnya telat hari njirr bahkan pernah di batalin otomatis sama shopee gara itu barang tidak nyampe,sama datengnya telat hari njirr bahkan pernah di batalin otomatis sama shopee gara itu barang tidak nyampe,the same as the late day njirr even once can be canceled automatically with shopee because the item did not arrive,late day njirr even canceled automatically shopee item arrive,"['late', 'day', 'njirr', 'even', 'canceled', 'automatically', 'shopee', 'item', 'arrive']","['late', 'day', 'njirr', 'even', 'cancel', 'automatically', 'shopee', 'item', 'arrive']",late day njirr even cancel automatically shopee item arrive,0.0,0.2,0.8,negative
diDM pun cuek Parah admin,diDM pun cuek Parah admin,didm was too ignorant of the admin,didm ignorant admin,"['didm', 'ignorant', 'admin']","['didm', 'ignorant', 'admin']",didm ignorant admin,0.0,0.512,0.488,negative
konter drop off paket sicepat daerah tangsel dimana ya,konter drop off paket daerah tangsel dimana ya,drop off the south tangerang area package,drop south tangerang area package,"['drop', 'south', 'tangerang', 'area', 'package']","['drop', 'south', 'tangerang', 'area', 'package']",drop south tangerang area package,0.0,0.344,0.656,negative
sicepat jelek banget,jelek banget,really ugly,really ugly,"['really', 'ugly']","['really', 'ugly']",really ugly,0.0,0.782,0.218,negative
woy paket gw kemana Udah sangat pesan pakai sicepat selalu bermasalah pengirimannya Kalau emang hub nya bermasalah ya digusur ganti lain saja woy hub purwoyoso semarang tidak ngotak,woy paket gw kemana Udah sangat pesan pakai selalu bermasalah pengirimannya Kalau emang hub nya bermasalah ya digusur ganti lain saja woy hub purwoyoso semarang tidak ngotak,"woy my package where i have really ordered using it always has a problem, if the hub has a problem, so it is evicted, just change the hub of purwoyoso, semarang does not",woy package really ordered using always problem hub problem evicted change hub purwoyoso semarang,"['woy', 'package', 'really', 'ordered', 'using', 'always', 'problem', 'hub', 'problem', 'evicted', 'change', 'hub', 'purwoyoso', 'semarang']","['woy', 'package', 'really', 'order', 'use', 'always', 'problem', 'hub', 'problem', 'evict', 'change', 'hub', 'purwoyoso', 'semarang']",woy package really order use always problem hub problem evict change hub purwoyoso semarang,0.0,0.31,0.69,negative
Udah tetapi tidak solutif kesel pengecekan mulu ampe hari lama lama paketnya ke auto cancel tahu tidak Payah,Udah tetapi tidak solutif kesel pengecekan mulu ampe hari lama lama paketnya ke auto cancel tahu tidak Payah,already but not solutive to checked too until the old day the package to auto cancel knows not bad,already solutive checked old day package auto cancel knows bad,"['already', 'solutive', 'checked', 'old', 'day', 'package', 'auto', 'cancel', 'knows', 'bad']","['already', 'solutive', 'checked', 'old', 'day', 'package', 'auto', 'cancel', 'know', 'bad']",already solutive checked old day package auto cancel know bad,0.0,0.407,0.593,negative
gw gabisa stop nangis iya lebay tetapi bjirlah fuck u sicepat,gw gabisa stop nangis iya lebay tetapi bjirlah fuck u,"i can't stop crying, yeah, but i am fucking",cant stop crying yeah fucking,"['cant', 'stop', 'crying', 'yeah', 'fucking']","['cant', 'stop', 'cry', 'yeah', 'fuck']",cant stop cry yeah fuck,0.41,0.498,0.092,negative
Spx yang paling sering saya pakai atau tidak sicepat atau jne paling minimal jnt pernah hilang barang untungnya tidak terlalu rugi sih anterja lambat banget sampe,yang paling sering saya pakai atau tidak atau paling minimal pernah hilang barang untungnya tidak terlalu rugi sih anterja lambat banget sampe,the most often i use or not or at least have lost items fortunately not too loss,often use least lost items fortunately loss,"['often', 'use', 'least', 'lost', 'items', 'fortunately', 'loss']","['often', 'use', 'least', 'lose', 'item', 'fortunately', 'loss']",often use least lose item fortunately loss,0.236,0.241,0.523,negative
iya parah banget sampe sekarang stuckterakhir kalinya ni pakai ekspedisi babi,iya parah banget sampe sekarang stuckterakhir kalinya ni pakai ekspedisi babi,"yes, it's really bad until now the last time is using a pig expedition",yes really bad last time using pig expedition,"['yes', 'really', 'bad', 'last', 'time', 'using', 'pig', 'expedition']","['yes', 'really', 'bad', 'last', 'time', 'use', 'pig', 'expedition']",yes really bad last time use pig expedition,0.216,0.304,0.48,negative
ini mau bangkrut apa bagaimana sih saya pesen barang sudah hari mandek di gudang cengkareng tidak ada pergerakan Tau begitu mending pakai saya beli barang lain co semalem tadi pagi sudah nyampe,ini mau bangkrut apa bagaimana sih saya pesen barang sudah hari mandek di gudang cengkareng tidak ada pergerakan Tau begitu mending pakai saya beli barang lain co semalem tadi pagi sudah nyampe,"this is going to go bankrupt, what do i order the item already to stagnate at the cengkareng warehouse, there is no movement to know so it's better to use another item, i have arrived at the time",going go bankrupt order item already stagnate cengkareng warehouse movement know better use another item arrived time,"['going', 'go', 'bankrupt', 'order', 'item', 'already', 'stagnate', 'cengkareng', 'warehouse', 'movement', 'know', 'better', 'use', 'another', 'item', 'arrived', 'time']","['go', 'go', 'bankrupt', 'order', 'item', 'already', 'stagnate', 'cengkareng', 'warehouse', 'movement', 'know', 'well', 'use', 'another', 'item', 'arrive', 'time']",go go bankrupt order item already stagnate cengkareng warehouse movement know well use another item arrive time,0.101,0.174,0.725,negative
sangat hikss soalnya saya kalau ngirim barang di pu nya sama sicepat terus,sangat hikss soalnya saya kalau ngirim barang di pu nya sama terus,very hikss because i send the items in the pu on the same,hikss send items pu,"['hikss', 'send', 'items', 'pu']","['hikss', 'send', 'item', 'pu']",hikss send item pu,0.0,0.412,0.588,negative
mana update status kiriman saya Uda hari tanpa status perubahan Barang tidak sampai No resi,mana update status kiriman saya Uda hari tanpa status perubahan Barang tidak sampai No resi,where is my shipment status update on the day without the status of the change in the goods not until the receipt number,shipment status update day without status change goods receipt number,"['shipment', 'status', 'update', 'day', 'without', 'status', 'change', 'goods', 'receipt', 'number']","['shipment', 'status', 'update', 'day', 'without', 'status', 'change', 'good', 'receipt', 'number']",shipment status update day without status change good receipt number,0.111,0.206,0.683,negative
Alasannya konyol banget Dirumah saya selalu ada orang padahal wkwk kemarin saya tungguin sampe malem juga tidak ada tuh Kurir dateng,Alasannya konyol banget Dirumah saya selalu ada orang padahal wkwk kemarin saya tungguin sampe malem juga tidak ada tuh Kurir dateng,the reason is really ridiculous at my house there is always someone even though yesterday i was waiting for until night there was also no courier coming,reason really ridiculous house always someone even though yesterday waiting night also courier coming,"['reason', 'really', 'ridiculous', 'house', 'always', 'someone', 'even', 'though', 'yesterday', 'waiting', 'night', 'also', 'courier', 'coming']","['reason', 'really', 'ridiculous', 'house', 'always', 'someone', 'even', 'though', 'yesterday', 'wait', 'night', 'also', 'courier', 'come']",reason really ridiculous house always someone even though yesterday wait night also courier come,0.0,0.177,0.823,negative
sudah saya chat lewat whatsapp tetapi nihil tidak ada solusi karena chat dari pihak kalian stuck,sudah saya chat lewat whatsapp tetapi nihil tidak ada solusi karena chat dari pihak kalian stuck,i have chatted via whatsapp but nothing has a solution because you chat from your side,chatted via whatsapp nothing solution chat side,"['chatted', 'via', 'whatsapp', 'nothing', 'solution', 'chat', 'side']","['chat', 'via', 'whatsapp', 'nothing', 'solution', 'chat', 'side']",chat via whatsapp nothing solution chat side,0.0,0.246,0.754,negative
ih kita juga pernah bgni di sicepat mana dp kantor tidak tahu di mana kontaknya tidak punya akhirnya kita ajukan di shopee kembali dana nanti begitu baru dp kantor yang di palu ba hubungi dan akhirnya de kasi nomornya kurir kalau te salah,ih kita juga pernah bgni di mana dp kantor tidak tahu di mana kontaknya tidak punya akhirnya kita ajukan di shopee kembali dana nanti begitu baru dp kantor yang di palu ba hubungi dan akhirnya de kasi nomornya kurir kalau te salah,uh we have also been bgni where the office dp doesn't know where the contact does not have finally we submit it in shopee again the funds will be so new dp offices in palu ba contact and finally the number of courier numbers if you are wrong,uh also bgni office dp know contact finally submit shopee funds new dp offices palu ba contact finally number courier numbers wrong,"['uh', 'also', 'bgni', 'office', 'dp', 'know', 'contact', 'finally', 'submit', 'shopee', 'funds', 'new', 'dp', 'offices', 'palu', 'ba', 'contact', 'finally', 'number', 'courier', 'numbers', 'wrong']","['uh', 'also', 'bgni', 'office', 'dp', 'know', 'contact', 'finally', 'submit', 'shopee', 'fund', 'new', 'dp', 'office', 'palu', 'ba', 'contact', 'finally', 'number', 'courier', 'number', 'wrong']",uh also bgni office dp know contact finally submit shopee fund new dp office palu ba contact finally number courier number wrong,0.105,0.126,0.769,negative
jelek kamu,jelek kamu,you are ugly,ugly,['ugly'],['ugly'],ugly,0.0,1.0,0.0,negative
Seharusnya lebih teliti lagi ketika menyortir barang agar tidak salah alamat seperti ini,Seharusnya lebih teliti lagi ketika menyortir barang agar tidak salah alamat seperti ini,should be more thorough when sorting the item so that it is not wrong address like this,thorough sorting item wrong address like,"['thorough', 'sorting', 'item', 'wrong', 'address', 'like']","['thorough', 'sort', 'item', 'wrong', 'address', 'like']",thorough sort item wrong address like,0.26,0.323,0.417,negative
Sicepat atau jnt spx lama banget sumpah,atau lama banget sumpah,or it's so long to swear,long swear,"['long', 'swear']","['long', 'swear']",long swear,0.0,0.545,0.455,negative
males sangat pakai sicepat sumpah aneh,males sangat pakai sumpah aneh,lazy to use a strange oath,lazy use strange oath,"['lazy', 'use', 'strange', 'oath']","['lazy', 'use', 'strange', 'oath']",lazy use strange oath,0.0,0.683,0.317,negative
sbt mau tanya yang dom tebet kalau drop off sicepat dimana ya kalau oot kasih tahu saja ya makasiih,sbt mau tanya yang dom tebet kalau drop off dimana ya kalau oot kasih tahu saja ya makasiih,"sbt want to ask the one who dom is tebet if drop off where if oot just tell me, then",sbt want ask one dom tebet drop oot tell me,"['sbt', 'want', 'ask', 'one', 'dom', 'tebet', 'drop', 'oot', 'tell', 'me']","['sbt', 'want', 'ask', 'one', 'dom', 'tebet', 'drop', 'oot', 'tell', 'me']",sbt want ask one dom tebet drop oot tell me,0.114,0.184,0.702,negative
cdm admin plis slow respon kali kau ganti aj lah nama mu jdi silamaeksprot,cdm admin plis slow respon kali kau ganti aj lah nama mu jdi silamaeksprot,cdm admin plis slow response times you change your name so silamaeksprot,cdm admin plis slow response times change name silamaeksprot,"['cdm', 'admin', 'plis', 'slow', 'response', 'times', 'change', 'name', 'silamaeksprot']","['cdm', 'admin', 'plis', 'slow', 'response', 'time', 'change', 'name', 'silamaeksprot']",cdm admin plis slow response time change name silamaeksprot,0.0,0.158,0.842,negative
Udah dihubungi semua admin sudah tanya di WhatsApp sama tanya di email Tapi jawabannya cuma disuruh nunggu info selanjutnya Nanya disini juga cuma dibales pakai template kecewa banget sama cs sicepat,Udah dihubungi semua admin sudah tanya di WhatsApp sama tanya di email Tapi jawabannya cuma disuruh nunggu info selanjutnya Nanya disini juga cuma dibales pakai template kecewa banget sama cs,already contacted all admins have been asked on whatsapp and ask in the email but the answer is only told to wait for the next info to ask here and also only used a template really disappointed with cs,already contacted admins asked whatsapp ask email answer told wait next info ask also used template really disappointed cs,"['already', 'contacted', 'admins', 'asked', 'whatsapp', 'ask', 'email', 'answer', 'told', 'wait', 'next', 'info', 'ask', 'also', 'used', 'template', 'really', 'disappointed', 'cs']","['already', 'contact', 'admins', 'ask', 'whatsapp', 'ask', 'email', 'answer', 'told', 'wait', 'next', 'info', 'ask', 'also', 'use', 'template', 'really', 'disappointed', 'c']",already contact admins ask whatsapp ask email answer told wait next info ask also use template really disappointed c,0.0,0.159,0.841,negative
ya elah ni sicepat berulah lagi tidak cape apa mereka salah kirim mulu gagal mulu harus nunggu lagi hari baru sampe,ya elah ni berulah lagi tidak cape apa mereka salah kirim mulu gagal mulu harus nunggu lagi hari baru sampe,"yes, this is not tired again, they will send the wrong failed first, i have to wait for the new day to arrive again",yes tired again send wrong failed first wait new day arrive,"['yes', 'tired', 'again', 'send', 'wrong', 'failed', 'first', 'wait', 'new', 'day', 'arrive']","['yes', 'tire', 'again', 'send', 'wrong', 'fail', 'first', 'wait', 'new', 'day', 'arrive']",yes tire again send wrong fail first wait new day arrive,0.156,0.382,0.462,negative
Sicepat ada masalah apa sih Ini pesanan gw diputerputer saja di Jakarta Dikirim ke Kalimantan kapannnnn,ada masalah apa sih Ini pesanan gw diputerputer saja di Jakarta Dikirim ke Kalimantan kapannnnn,there is a problem what is my order on just a computer in jakarta sent to kalimantan anytime,problem order computer jakarta sent kalimantan anytime,"['problem', 'order', 'computer', 'jakarta', 'sent', 'kalimantan', 'anytime']","['problem', 'order', 'computer', 'jakarta', 'sent', 'kalimantan', 'anytime']",problem order computer jakarta sent kalimantan anytime,0.0,0.31,0.69,negative
Ini bagaimana sih Udah schedule pickup hari Sabtu siang tetapi tibatiba ada info gagal pickup dengan alasan reschedule by seller Padahal saya tidak pernah reschedule kurir belum ngehubungin saya sama sekali Komplain via WA ngebalesnya template terus,Ini bagaimana sih Udah schedule pickup hari Sabtu siang tetapi tibatiba ada info gagal pickup dengan alasan reschedule by seller Padahal saya tidak pernah reschedule kurir belum ngehubungin saya sama sekali Komplain via WA ngebalesnya template terus,this is the pickup schedule on saturday afternoon but suddenly there is information failed pickup on the grounds of reschedule by seller even though i have never rescheduled courie,pickup schedule saturday afternoon suddenly information failed pickup grounds reschedule seller even though never rescheduled courie,"['pickup', 'schedule', 'saturday', 'afternoon', 'suddenly', 'information', 'failed', 'pickup', 'grounds', 'reschedule', 'seller', 'even', 'though', 'never', 'rescheduled', 'courie']","['pickup', 'schedule', 'saturday', 'afternoon', 'suddenly', 'information', 'fail', 'pickup', 'ground', 'reschedule', 'seller', 'even', 'though', 'never', 'reschedule', 'courie']",pickup schedule saturday afternoon suddenly information fail pickup ground reschedule seller even though never reschedule courie,0.0,0.189,0.811,negative
Sicepat responnya beneran jelek sangat sangat sangat,responnya beneran jelek sangat sangat sangat,the response is really ugly very very,response really ugly,"['response', 'really', 'ugly']","['response', 'really', 'ugly']",response really ugly,0.0,0.642,0.358,negative
sicepat pun kalah cepat,pun kalah cepat,even lost fast,even lost fast,"['even', 'lost', 'fast']","['even', 'lose', 'fast']",even lose fast,0.288,0.519,0.192,negative
