,full_text,cleaned_text,translated_text,stopwords,tweet_tokenize,tokens_lemmatized
702,sicepat sek tahap tak komplain kok,sek tahap tak komplain kok,sex stage no complaints,sex stage complaints,"['sex', 'stage', 'complaints']","['sex', 'stage', 'complaint']"
703,ayo sicepat aku percaya pada kemampuanmu,Ayo Aku percaya pada kemampuanmu,"come on, i believe in your abilities",come on believe abilities,"['come', 'on', 'believe', 'abilities']","['come', 'on', 'believe', 'ability']"
704,halo kak ini paket saya belum dipick up kurir tapi keterangannya cancel karena rescheduled by seller padahal seharian ini saya tunggu tdk ada kurir datang bisa tolong dibantu,Halo kak ini paket saya belum dipick up kurir tapi keterangannya cancel karena rescheduled by seller padahal seharian ini saya tunggu tdk ada kurir datang bisa tolong dibantu,"hello sis, my package has not been pick up the courier but the information can be canceled because of rescheduling by seller, even though all day i wait no courier can be helped help",hello sis package pick courier information canceled rescheduling seller even though day wait courier helped help,"['hello', 'sis', 'package', 'pick', 'courier', 'information', 'canceled', 'rescheduling', 'seller', 'even', 'though', 'day', 'wait', 'courier', 'helped', 'help']","['hello', 'si', 'package', 'pick', 'courier', 'information', 'cancel', 'reschedule', 'seller', 'even', 'though', 'day', 'wait', 'courier', 'help', 'help']"
705,eh sicepat apaan dah gagal pickup alesannya gua yg reschedule ke besok daritadi gua nungguin abangnya cokk curiga yg kemaren tuh jg blio ga dateng tp asal bikin keterangan w yg resched,Eh apaan dah gagal pickup alesannya gua yg reschedule ke besok Daritadi gua nungguin abangnya cokk curiga yg kemaren tuh jg blio ga dateng tp asal bikin keterangan w yg resched,eh what has failed the ales of the reason that i rescheduled to tomorrow from the time i waited for the brother to be suspicious that yesterday also didn't come but as long as i made a reschedule of the resched,eh failed ales reason rescheduled tomorrow time waited brother suspicious yesterday also come long made reschedule resched,"['eh', 'failed', 'ales', 'reason', 'rescheduled', 'tomorrow', 'time', 'waited', 'brother', 'suspicious', 'yesterday', 'also', 'come', 'long', 'made', 'reschedule', 'resched']","['eh', 'fail', 'ale', 'reason', 'reschedule', 'tomorrow', 'time', 'wait', 'brother', 'suspicious', 'yesterday', 'also', 'come', 'long', 'make', 'reschedule', 'resched']"
706,kurir sicepat kan bukan  kurir yg langsung kirim ke alamat kamu beb bukan konsep kurir grab gojek yg instant sameday gitu ya,Kurir kan bukan kurir yg langsung kirim ke alamat kamu beb bukan konsep kurir grab gojek yg instant sameday gitu ya,courier is not a courier who directly sent to your address beb is not the concept of a grab gojek courier that is instant sameday,courier courier directly sent address beb concept grab gojek courier instant sameday,"['courier', 'courier', 'directly', 'sent', 'address', 'beb', 'concept', 'grab', 'gojek', 'courier', 'instant', 'sameday']","['courier', 'courier', 'directly', 'sent', 'address', 'beb', 'concept', 'grab', 'gojek', 'courier', 'instant', 'sameday']"
707,min paket saya knp blm nyampe dari mangga dua ke kelapa gading padahal pake sicepat best masa masih sama jakarta  hari,min paket saya knp blm nyampe dari mangga dua ke kelapa gading padahal pake best Masa masih sama jakarta hari,"min, my package is not arrived from mangga dua to kelapa gading even though it uses the best, it's still the same as jakarta.",min package arrived mangga dua kelapa gading even though uses best still jakarta,"['min', 'package', 'arrived', 'mangga', 'dua', 'kelapa', 'gading', 'even', 'though', 'uses', 'best', 'still', 'jakarta']","['min', 'package', 'arrive', 'mangga', 'dua', 'kelapa', 'gad', 'even', 'though', 'us', 'best', 'still', 'jakarta']"
708,pilih pengiriman  hari seminggu lebih gak nyampe help me please,Pilih pengiriman hari seminggu lebih gak nyampe help me please,choose shipping days a week not arrived at help me please,choose shipping days week arrived help please,"['choose', 'shipping', 'days', 'week', 'arrived', 'help', 'please']","['choose', 'shipping', 'day', 'week', 'arrive', 'help', 'please']"
709,udah aku tambahin ekspedisi sicepat sama spx ya kaa nanti minta tolong ubah pengiriman ke sicepat yaa,Udah aku tambahin ekspedisi sama spx ya kaa nanti minta tolong ubah pengiriman ke yaa,"i already added an expedition with spx, then i will ask for help, change the shipment to yaa",already added expedition spx ask help change shipment yaa,"['already', 'added', 'expedition', 'spx', 'ask', 'help', 'change', 'shipment', 'yaa']","['already', 'add', 'expedition', 'spx', 'ask', 'help', 'change', 'shipment', 'yaa']"
710,cdm tolong min,cdm tolong min,cdm please min,cdm please min,"['cdm', 'please', 'min']","['cdm', 'please', 'min']"
711,beli catfood masih sekabupaten di x di toko yg sama satunya beli kemaren pake hari ini nyampe satunya beli minggu pake kgk nyampe sampe sekarang anj emang,Beli catfood masih sekabupaten di x di toko yg sama satunya beli kemaren pake hari ini nyampe satunya beli minggu pake kgk nyampe sampe sekarang anj emang,"buy catfood is still in the district at x in the shop that bought yesterday using today, the other arrived",buy catfood still district x shop bought yesterday using today arrived,"['buy', 'catfood', 'still', 'district', 'x', 'shop', 'bought', 'yesterday', 'using', 'today', 'arrived']","['buy', 'catfood', 'still', 'district', 'x', 'shop', 'bought', 'yesterday', 'use', 'today', 'arrive']"
712,iya kdng sicepat hr mentok di ekspedisi trus makanya aku dah ga make lg mana ekspedisi disini goib lg,Iya kdng hr mentok di ekspedisi trus makanya aku dah ga make lg mana ekspedisi disini goib lg,"yes, i have stuck in the expedition and so i don't use any lg where the expedition here goib",yes stuck expedition use lg expedition goib,"['yes', 'stuck', 'expedition', 'use', 'lg', 'expedition', 'goib']","['yes', 'stuck', 'expedition', 'use', 'lg', 'expedition', 'goib']"
713,emang lama bgt,emang lama bgt,it's really a long time,really long time,"['really', 'long', 'time']","['really', 'long', 'time']"
714,sdh di wa yg balas malah robot disini jawab nya mala kayak gini,Sdh di WA yg balas malah robot Disini jawab nya mala kayak gini,already in wa who replied instead of the robot here the answer was like this,already wa replied instead robot answer like,"['already', 'wa', 'replied', 'instead', 'robot', 'answer', 'like']","['already', 'wa', 'reply', 'instead', 'robot', 'answer', 'like']"
715,cek dm,cek dm,check dm,check dm,"['check', 'dm']","['check', 'dm']"
716,pengirimannya lemot banget anjir,pengirimannya lemot banget anjir,the delivery is very slow,delivery slow,"['delivery', 'slow']","['delivery', 'slow']"
717,ini diremove aja dari nggak pernah bener paket best udh dua hari kerja nggak nyampe komplain via wa dgn no wa juga ngga ngefek udah melewati batas pengiriman pulak nggak menghargai waktu orang itu zholim masmba,ini diremove aja dari nggak pernah bener Paket BEST udh dua hari kerja nggak nyampe Komplain via WA dgn no WA juga ngga ngefek Udah melewati batas pengiriman pulak Nggak menghargai waktu orang itu zholim MasMba,"this is just removered from never being right the best package has been two days of working, not arriving in a complaint via wa with no wa, also not already on the limit of shipping not appreciate when the person is zholim masmba",removered never right best package two days working arriving complaint via wa wa also already limit shipping appreciate person zholim masmba,"['removered', 'never', 'right', 'best', 'package', 'two', 'days', 'working', 'arriving', 'complaint', 'via', 'wa', 'wa', 'also', 'already', 'limit', 'shipping', 'appreciate', 'person', 'zholim', 'masmba']","['removered', 'never', 'right', 'best', 'package', 'two', 'day', 'work', 'arrive', 'complaint', 'via', 'wa', 'wa', 'also', 'already', 'limit', 'shipping', 'appreciate', 'person', 'zholim', 'masmba']"
718,halo min barang saya sudah melewati batas estimasi bisanya cs bilang gini mau ngirim masak nunggu barengan klo gk ada barengan mau smpek kapan dikirim,Halo min Barang saya sudah melewati batas estimasi bisanya CS bilang gini Mau ngirim masak nunggu barengan klo gk ada barengan mau smpek kapan dikirim,"hello, my item has crossed the estimated limit, cs, cs, said that i want to send you to wait for you to wait together if you don't have it together when you want to be sent",hello item crossed estimated limit cs cs said want send wait wait together together want sent,"['hello', 'item', 'crossed', 'estimated', 'limit', 'cs', 'cs', 'said', 'want', 'send', 'wait', 'wait', 'together', 'together', 'want', 'sent']","['hello', 'item', 'cross', 'estimate', 'limit', 'c', 'c', 'say', 'want', 'send', 'wait', 'wait', 'together', 'together', 'want', 'sent']"
719,pick up kah setahuku anteraja sama sicepat deh kayaknya bisa,Pick up kah Setahuku sama deh kayaknya bisa,"pick up as far as i know, i think i can",pick far know think,"['pick', 'far', 'know', 'think']","['pick', 'far', 'know', 'think']"
720,paket sicepat aku juga ga gerak ka dari tgl ,Paket aku juga ga gerak ka dari tgl,my package also doesn't move from the date,package also move date,"['package', 'also', 'move', 'date']","['package', 'also', 'move', 'date']"
721,cape bgt gue sm sicepat cabang sinisicepat yg ngga cepat,cape bgt gue sm cabang sinisicepat yg ngga cepat,i'm so tired of the sicepat art branch that is not fast,im tired sicepat art branch fast,"['im', 'tired', 'sicepat', 'art', 'branch', 'fast']","['im', 'tire', 'sicepat', 'art', 'branch', 'fast']"
722,ini gimana ceritanya bisa ketuker setelah diantr ke alamat tujuan sampe sekarang juga gak ada pergerakan lagi itu paket saya yang bener dong,ini gimana ceritanya bisa ketuker setelah diantr ke alamat tujuan sampe sekarang juga gak ada pergerakan lagi itu paket saya yang bener dong,this is how the story can be ketuker after being delivered to the destination address until now there is no more movement that is my correct package,story ketuker delivered destination address movement correct package,"['story', 'ketuker', 'delivered', 'destination', 'address', 'movement', 'correct', 'package']","['story', 'ketuker', 'deliver', 'destination', 'address', 'movement', 'correct', 'package']"
723,istighfar lo sicepat,istighfar lo,istighfar lo,istighfar lo,"['istighfar', 'lo']","['istighfar', 'lo']"
724,ni paket gue knp lama bgt sampenya halo,NI PAKET GUE KNP LAMA BGT SAMPENYA HALO,this package is my long time,package long time,"['package', 'long', 'time']","['package', 'long', 'time']"
725,kok jd hunian hrsnya pt pos bisa jd spt sicepat halu jne bgt jaringan dmana,Kok jd hunian Hrsnya PT bisa jd spt halu bgt Jaringan dmana,how come the hrs hrs can be like that it can be like the network,come hrs hrs like like network,"['come', 'hrs', 'hrs', 'like', 'like', 'network']","['come', 'hr', 'hr', 'like', 'like', 'network']"
726,wkwkwkkwkw sicepat halu,Wkwkwkkwkw halu,wkwkwkkwkw hau,wkwkwkkwkw hau,"['wkwkwkkwkw', 'hau']","['wkwkwkkwkw', 'hau']"
727,halo min ini knp ya tbtb di tgl  mei dibatalin sepihak terus ditgl  pesanan mau dikirim ke alamat tujuan tolong dicek ya min,halo min ini knp ya tbtb di tgl mei dibatalin sepihak terus ditgl pesanan mau dikirim ke alamat tujuan Tolong dicek ya min,"hello min, why is this tbtb on may, it is canceled unilaterally and then the order is to be sent to the destination address, please check it, min",hello min tbtb may canceled unilaterally order sent destination address please check it min,"['hello', 'min', 'tbtb', 'may', 'canceled', 'unilaterally', 'order', 'sent', 'destination', 'address', 'please', 'check', 'it', 'min']","['hello', 'min', 'tbtb', 'may', 'cancel', 'unilaterally', 'order', 'sent', 'destination', 'address', 'please', 'check', 'it', 'min']"
728,min kenapa dari tgl  tdk update paket ini  tolong follow up min biar segera diantar ditanya di wa mala yg jawab robot,Min kenapa dari tgl tdk update paket ini Tolong follow up min biar segera diantar Ditanya di WA mala yg jawab robot,"min, why from the date of not updating this package, please follow up min so that it will be delivered immediately asked in wa mala who answered the robot",min date updating package please follow min delivered immediately asked wa mala answered robot,"['min', 'date', 'updating', 'package', 'please', 'follow', 'min', 'delivered', 'immediately', 'asked', 'wa', 'mala', 'answered', 'robot']","['min', 'date', 'update', 'package', 'please', 'follow', 'min', 'deliver', 'immediately', 'ask', 'wa', 'mala', 'answer', 'robot']"
729,kali ini ajaib banget dari jaktim mau ke semarang gaada kabar  hari tautau sampe jombang ngapain,kali ini ajaib banget dari jaktim mau ke semarang gaada kabar hari tautau sampe jombang Ngapain,"this time it's really magical from jakarta to go to semarang, there is no news of tauutau until jombang what",time really magical jakarta go semarang news tauutau jombang,"['time', 'really', 'magical', 'jakarta', 'go', 'semarang', 'news', 'tauutau', 'jombang']","['time', 'really', 'magical', 'jakarta', 'go', 'semarang', 'news', 'tauutau', 'jombang']"
730,nangissss aku dr surabaya ga gerak sampe skrg tulisannya gini terus biasanya aku jarang pake jne selalu jntspxsicepat cuma seller aku ni jntnya entah mengapa lg eror jd pake jne eh apes lama bgt stuck,nangissss aku dr surabaya ga gerak sampe skrg tulisannya gini terus biasanya aku jarang pake selalu jntspxsicepat cuma seller aku ni jntnya entah mengapa lg eror jd pake eh apes lama bgt stuck,"i cried from surabaya, i didn't move until now, i usually rarely use it, i rarely use it, but only my seller is just like an error, so it's a long time, so it's so stuck",cried surabaya move now usually rarely use it rarely use it seller like error long time stuck,"['cried', 'surabaya', 'move', 'now', 'usually', 'rarely', 'use', 'it', 'rarely', 'use', 'it', 'seller', 'like', 'error', 'long', 'time', 'stuck']","['cry', 'surabaya', 'move', 'now', 'usually', 'rarely', 'use', 'it', 'rarely', 'use', 'it', 'seller', 'like', 'error', 'long', 'time', 'stuck']"
731,halo kak paket kakak gagal pickup karena masih diproses di gudang ya kak mohon tunggu,Halo kak paket kakak gagal pickup karena masih diproses di gudang ya kak mohon tunggu,"hello sis, the package, brother failed to pickup because it was still processed in the warehouse, sis, please wait",hello sis package brother failed pickup still processed warehouse sis please wait,"['hello', 'sis', 'package', 'brother', 'failed', 'pickup', 'still', 'processed', 'warehouse', 'sis', 'please', 'wait']","['hello', 'si', 'package', 'brother', 'fail', 'pickup', 'still', 'process', 'warehouse', 'si', 'please', 'wait']"
732,gaada yg jauh kalo niat,gaada yg jauh kalo niat,no far if intention,far intention,"['far', 'intention']","['far', 'intention']"
733,sudah dihubungi yang bales malah bot,sudah dihubungi yang bales malah bot,already contacted by those who replied instead of the bot,already contacted replied instead bot,"['already', 'contacted', 'replied', 'instead', 'bot']","['already', 'contact', 'reply', 'instead', 'bot']"
734,sukabumi kan jauh banget,sukabumi kan jauh banget,sukabumi is really far away,sukabumi really far away,"['sukabumi', 'really', 'far', 'away']","['sukabumi', 'really', 'far', 'away']"
735,day  of gagal pick up oleh agus cc,day of gagal pick up oleh agus cc,day of failing pick up by agus cc,day failing pick agus cc,"['day', 'failing', 'pick', 'agus', 'cc']","['day', 'fail', 'pick', 'agus', 'cc']"
736,paketku ga jalan dari kemaren huft lama banget,paketku ga jalan dari kemaren huft lama banget,"my package doesn't work from yesterday, huft really long",package work yesterday huft really long,"['package', 'work', 'yesterday', 'huft', 'really', 'long']","['package', 'work', 'yesterday', 'huft', 'really', 'long']"
737,harusnya manfaatin untuk jaringan pos dan logistik krn coverage daerahnya bagus bgt kalo switch bisnis gini sayang bgtt kalo g mampu bisa kerjasama dg swasta seperti shopee atau sicepat,Harusnya manfaatin untuk jaringan dan logistik krn coverage daerahnya bagus bgt kalo switch bisnis gini sayang bgtt kalo g mampu bisa kerjasama dg swasta seperti shopee atau,"it should be used for networks and logistics because the area coverage is very good if the business switch is like this, if it can't be able to cooperate with private such as shopee or",used networks logistics area coverage good business switch like this cant able cooperate private shopee,"['used', 'networks', 'logistics', 'area', 'coverage', 'good', 'business', 'switch', 'like', 'this', 'cant', 'able', 'cooperate', 'private', 'shopee']","['use', 'network', 'logistics', 'area', 'coverage', 'good', 'business', 'switch', 'like', 'this', 'cant', 'able', 'cooperate', 'private', 'shopee']"
738,tolong dong paket saya segera di kirim engga jalan jalan no resi ,tolong dong paket saya segera di kirim engga jalan jalan no resi,"please, please send my package immediately or not walk the receipt",please please send package immediately walk receipt,"['please', 'please', 'send', 'package', 'immediately', 'walk', 'receipt']","['please', 'please', 'send', 'package', 'immediately', 'walk', 'receipt']"
739,kalau liat pos indonesia jadi inget tvri sama pemain awal tapi tidak berinovasi mengikuti keinginan market saat ini padahal kalau pos indonesia mau serius udah pasti jnt jne sicepat dll kelibas semua mereka yg pertama punya akses sampe ke pelosok mereka pionir pengiriman,kalau liat indonesia jadi inget tvri sama pemain awal tapi tidak berinovasi mengikuti keinginan market saat ini padahal kalau indonesia mau serius udah pasti dll kelibas semua mereka yg pertama punya akses sampe ke pelosok mereka pionir pengiriman,"if you see indonesia, remember tvri with the initial players but do not innovate to follow the current market's wishes, even though if indonesia wants to be serious, it is certain etc.",see indonesia remember tvri initial players innovate follow current markets wishes even though indonesia wants serious certain etc,"['see', 'indonesia', 'remember', 'tvri', 'initial', 'players', 'innovate', 'follow', 'current', 'markets', 'wishes', 'even', 'though', 'indonesia', 'wants', 'serious', 'certain', 'etc']","['see', 'indonesia', 'remember', 'tvri', 'initial', 'player', 'innovate', 'follow', 'current', 'market', 'wish', 'even', 'though', 'indonesia', 'want', 'serious', 'certain', 'etc']"
740,lelet besok ganti nama jadi silelet,lelet besok ganti nama jadi silelet,slow tomorrow change name to silelet,slow tomorrow change name silelet,"['slow', 'tomorrow', 'change', 'name', 'silelet']","['slow', 'tomorrow', 'change', 'name', 'silelet']"
741,seharusnya lebih teliti lagi ketika menyortir barang agar tidak salah alamat seperti ini,Seharusnya lebih teliti lagi ketika menyortir barang agar tidak salah alamat seperti ini,should be more thorough when sorting the item so that it is not wrong address like this,thorough sorting item wrong address like,"['thorough', 'sorting', 'item', 'wrong', 'address', 'like']","['thorough', 'sort', 'item', 'wrong', 'address', 'like']"
742,lowongan kerja training junior manager sicepat express selengkapnya,Lowongan Kerja Training Junior Manager Express Selengkapnya,job vacancies for junior manager express training in full,job vacancies junior manager express training full,"['job', 'vacancies', 'junior', 'manager', 'express', 'training', 'full']","['job', 'vacancy', 'junior', 'manager', 'express', 'training', 'full']"
743,ga aku ga pake sicepat sas,Ga aku ga pake sas,i don't use sas,use sas,"['use', 'sas']","['use', 'sa']"
744,games banget liat paket gagal di pick up udah  hari berturutturut sama kurir sicepat,games banget liat paket gagal di pick up udah hari berturutturut sama kurir,games really see the package failed on the pick up already consecutive day with the courier,games really see package failed pick already consecutive day courier,"['games', 'really', 'see', 'package', 'failed', 'pick', 'already', 'consecutive', 'day', 'courier']","['game', 'really', 'see', 'package', 'fail', 'pick', 'already', 'consecutive', 'day', 'courier']"
745,hai kak mohon maaf atas ketidaknyamanannya terkait kendalanya mimin bantu jelaskan via dm ya,Hai Kak Mohon maaf atas ketidaknyamanannya Terkait kendalanya Mimin bantu jelaskan via DM ya,"hi sis, sorry for the inconvenience related to the obstacles, mimin help explain via dm, yes",hi sis sorry inconvenience related obstacles mimin help explain via dm yes,"['hi', 'sis', 'sorry', 'inconvenience', 'related', 'obstacles', 'mimin', 'help', 'explain', 'via', 'dm', 'yes']","['hi', 'si', 'sorry', 'inconvenience', 'related', 'obstacle', 'mimin', 'help', 'explain', 'via', 'dm', 'yes']"
746,kalo paket saya g nyampe hari ini juga black list beneran si cepat,Kalo paket saya g nyampe hari ini juga black list beneran si cepat,if my package doesn't arrive today too black list is really fast,package arrive today black list really fast,"['package', 'arrive', 'today', 'black', 'list', 'really', 'fast']","['package', 'arrive', 'today', 'black', 'list', 'really', 'fast']"
747,paket saya belum nyampe juga padahal klo cek resi dari rabu sudah sampe di wilayah saya tolong di follow up dong,Paket saya belum nyampe juga Padahal klo cek resi dari rabu sudah sampe di wilayah saya tolong di follow up dong,"my package hasn't arrived yet, even though i checked the receipt from wednesday, it arrived in my area, please follow up",package arrived yet even though checked receipt wednesday arrived area please follow,"['package', 'arrived', 'yet', 'even', 'though', 'checked', 'receipt', 'wednesday', 'arrived', 'area', 'please', 'follow']","['package', 'arrive', 'yet', 'even', 'though', 'checked', 'receipt', 'wednesday', 'arrive', 'area', 'please', 'follow']"
748,ada apa ini heeei amp tumben lamaa,Ada apa ini heeei amp tumben lamaa,"what's up, hai, what's so long",whats up hai whats long,"['whats', 'up', 'hai', 'whats', 'long']","['whats', 'up', 'hai', 'whats', 'long']"
749,bukti paket yang sudah sampai jasa pengiriman via jne jampt sicepat pembayaran via transfer kami tidak melayani cod cek bukti nomor resi amp paket yang sudah sampai daftar menu,Bukti Paket Yang Sudah Sampai Jasa pengiriman via JampT Pembayaran via transfer Kami tidak melayani COD Cek Bukti Nomor Resi amp Paket Yang Sudah Sampai Daftar Menu,"proof of the package that has arrived at the shipping service via jampt payment via transfer, we do not serve cod check proof of receipt number amp package that has reached the menu list",proof package arrived shipping service via jampt payment via transfer serve cod check proof receipt number amp package reached menu list,"['proof', 'package', 'arrived', 'shipping', 'service', 'via', 'jampt', 'payment', 'via', 'transfer', 'serve', 'cod', 'check', 'proof', 'receipt', 'number', 'amp', 'package', 'reached', 'menu', 'list']","['proof', 'package', 'arrive', 'shipping', 'service', 'via', 'jampt', 'payment', 'via', 'transfer', 'serve', 'cod', 'check', 'proof', 'receipt', 'number', 'amp', 'package', 'reach', 'menu', 'list']"
750,sicepat weee cepet bgt nyampe nya,weee cepet bgt nyampe nya,wee is so fast,wee fast,"['wee', 'fast']","['wee', 'fast']"
751,sicepat cepet bgtt ini paket buyer baru drop kemarin skrg uda pda nyampeee,cepet bgtt ini paket buyer baru drop kemarin skrg uda pda nyampeee,"hurry up, this is the new buyer package drop yesterday now now",hurry up new buyer package drop yesterday,"['hurry', 'up', 'new', 'buyer', 'package', 'drop', 'yesterday']","['hurry', 'up', 'new', 'buyer', 'package', 'drop', 'yesterday']"
752,sicepat jne,,"the json object must be str, bytes or bytearray, not nonetype",json object must str bytes bytearray nonetype,"['json', 'object', 'must', 'str', 'bytes', 'bytearray', 'nonetype']","['json', 'object', 'must', 'str', 'byte', 'bytearray', 'nonetype']"
753,masa harus di tag mulu sih min woy cs berhenti lu main mobile legend nih customer complain,masa harus di tag mulu sih min woy cs berhenti lu main mobile legend nih customer complain,"how come you have to tag it, min woy cs stop playing mobile legend",come tag it min woy cs stop playing mobile legend,"['come', 'tag', 'it', 'min', 'woy', 'cs', 'stop', 'playing', 'mobile', 'legend']","['come', 'tag', 'it', 'min', 'woy', 'c', 'stop', 'play', 'mobile', 'legend']"
754,di tag aja kurirnya di grup wa min biar dianter udah  hari stuck kalo ga bisa nganter tutup aja cabangnya di samarinda ga heran bintang  di google woy admin twitter ini customer complain di perhatiin jangan maen zuma lu,DI TAG AJA KURIRNYA DI GRUP WA MIN BIAR DIANTER UDAH HARI STUCK KALO GA BISA NGANTER TUTUP AJA CABANGNYA DI SAMARINDA GA HERAN BINTANG DI GOOGLE WOY ADMIN TWITTER INI CUSTOMER COMPLAIN DI PERHATIIN JANGAN MAEN ZUMA LU,"just tag the courier in the wa min group so that it is dumer already stuck if you can't just cover the branches in samarinda, it's no wonder the star on google woy admin twitter is a customer complain.",tag courier wa min group dumer already stuck cant cover branches samarinda wonder star google woy admin twitter customer complain,"['tag', 'courier', 'wa', 'min', 'group', 'dumer', 'already', 'stuck', 'cant', 'cover', 'branches', 'samarinda', 'wonder', 'star', 'google', 'woy', 'admin', 'twitter', 'customer', 'complain']","['tag', 'courier', 'wa', 'min', 'group', 'dumer', 'already', 'stuck', 'cant', 'cover', 'branch', 'samarinda', 'wonder', 'star', 'google', 'woy', 'admin', 'twitter', 'customer', 'complain']"
755,cek dm woy itu bisa dibaca di dm kocak kalian,Cek DM WOY Itu bisa dibaca di DM Kocak kalian,check dm woy can be read on your hilarious dm,check dm woy read hilarious dm,"['check', 'dm', 'woy', 'read', 'hilarious', 'dm']","['check', 'dm', 'woy', 'read', 'hilarious', 'dm']"
756,kalo pake jnt x dianter kalo ttp gabisa diretur sicepat x spx kurang tahu,kalo pake x dianter kalo ttp gabisa diretur x spx kurang tahu,"if you use x delivery if you can't do the x spx, you don't know",use x delivery cant x spx know,"['use', 'x', 'delivery', 'cant', 'x', 'spx', 'know']","['use', 'x', 'delivery', 'cant', 'x', 'spx', 'know']"
757,bacot lu nih males ke call center ngabjsin paket nih resinya  kurir buset dari hari senin sampe sekarang ga dateng dateng shitttttt,BACOT LU NIH MALES KE CALL CENTER NGABJSIN PAKET NIH RESINYA KURIR BUSET DARI HARI SENIN SAMPE SEKARANG GA DATENG DATENG SHITTTTTT,"you're lazy to be lazy to call the call center ngabjsin package, the residence of the bucking courier from monday until now doesn't come shitt",lazy lazy call call center ngabjsin package residence bucking courier monday come shitt,"['lazy', 'lazy', 'call', 'call', 'center', 'ngabjsin', 'package', 'residence', 'bucking', 'courier', 'monday', 'come', 'shitt']","['lazy', 'lazy', 'call', 'call', 'center', 'ngabjsin', 'package', 'residence', 'buck', 'courier', 'monday', 'come', 'shitt']"
758,coba aja kalo semua ekspedisi ada sistem pickup paket ky sicepat berapapun nominalnya jg aku ttp ladenin kalo mau co non event skrg cuma sicepat kebijakan shopee aktifin shopee express wkwowkwk yg gamau pickup paket kaya jnt,coba aja kalo semua ekspedisi ada sistem pickup paket ky berapapun nominalnya jg aku ttp ladenin kalo mau co non event skrg cuma kebijakan shopee aktifin shopee express wkwowkwk yg gamau pickup paket kaya,"try it if all the expeditions have a ky package pickup system, whatever nominal, i don't know if i want to be a non -event now, just shopee policy activates shopee express, wkwowkwk",try expeditions ky package pickup system whatever nominal know want non event now shopee policy activates shopee express wkwowkwk,"['try', 'expeditions', 'ky', 'package', 'pickup', 'system', 'whatever', 'nominal', 'know', 'want', 'non', 'event', 'now', 'shopee', 'policy', 'activates', 'shopee', 'express', 'wkwowkwk']","['try', 'expedition', 'ky', 'package', 'pickup', 'system', 'whatever', 'nominal', 'know', 'want', 'non', 'event', 'now', 'shopee', 'policy', 'activates', 'shopee', 'express', 'wkwowkwk']"
759,kalau di aku sicepat yg ngaco dah mana di dom ku counternya sekarang jauh beut anjir yg kemaren tutup lagi,Kalau di aku yg ngaco dah Mana di dom ku counternya sekarang jauh beut anjir Yg kemaren tutup lagi,if in me who is awesome where in me the counter is now far away who was closed again,awesome counter far away closed,"['awesome', 'counter', 'far', 'away', 'closed']","['awesome', 'counter', 'far', 'away', 'close']"
760,nama tidak mencerminkan sifat aslinya namanya si cepat kenyataan nya si lelet dari tgl  skrg tgl  tapi tidak ada pergerakan resi cek dm,Nama tidak mencerminkan sifat aslinya Namanya si Cepat kenyataan nya si Lelet Dari Tgl skrg Tgl tapi tidak ada pergerakan Resi cek dm,the name does not reflect its true nature the name is the fast reality from the date of the date but there is no movement of the receipt check dm,name reflect true nature name fast reality date date movement receipt check dm,"['name', 'reflect', 'true', 'nature', 'name', 'fast', 'reality', 'date', 'date', 'movement', 'receipt', 'check', 'dm']","['name', 'reflect', 'true', 'nature', 'name', 'fast', 'reality', 'date', 'date', 'movement', 'receipt', 'check', 'dm']"
761,ekspedisi ke tegal udah nyoba spx jnt sicepat spx cepet di sini sicepat abis gitu jnt untuk kargo audah nyoba jtr alhamduliah paketku gak drama kek sebelumnya ongkir ke tegal juga lebih murce drpd ke cepu,Ekspedisi ke Tegal Udah nyoba spx Spx cepet di sini abis gitu Untuk kargo audah nyoba JTR alhamduliah paketku gak drama kek sebelumnya Ongkir ke Tegal juga lebih murce drpd ke Cepu,expedition to tegal has tried spx spx fast here after that for the cargo aethakan try jtr alhamduliah my package is not the drama before the previous postage to tegal is also more murce than cepu,expedition tegal tried spx spx fast cargo aethakan try jtr alhamduliah package drama previous postage tegal also murce cepu,"['expedition', 'tegal', 'tried', 'spx', 'spx', 'fast', 'cargo', 'aethakan', 'try', 'jtr', 'alhamduliah', 'package', 'drama', 'previous', 'postage', 'tegal', 'also', 'murce', 'cepu']","['expedition', 'tegal', 'try', 'spx', 'spx', 'fast', 'cargo', 'aethakan', 'try', 'jtr', 'alhamduliah', 'package', 'drama', 'previous', 'postage', 'tegal', 'also', 'murce', 'cepu']"
762,tolong cdm min,tolong cdm min,cdm please,cdm please,"['cdm', 'please']","['cdm', 'please']"
763,spx belakangan lagi cepet bgt shippingnya jnt sicepat mirip paling lama jelas jne,spx belakangan lagi cepet bgt shippingnya mirip paling lama jelas,spx lately again quickly shipping similar to the longest clear,spx lately quickly shipping similar longest clear,"['spx', 'lately', 'quickly', 'shipping', 'similar', 'longest', 'clear']","['spx', 'lately', 'quickly', 'shipping', 'similar', 'long', 'clear']"
764,sicepat halu,halu,halu,halu,['halu'],['halu']
